epoch,cost
1,3880.4799804688
2,4033.8869628906
3,4138.2211914063
4,3836.4985351563
5,3757.8520507813
6,3574.7875976563
7,3534.2651367188
8,3545.4768066406
9,3566.1086425781
10,3534.4067382813
11,3495.2416992188
12,3485.1921386719
13,3491.2001953125
14,3469.8012695313
15,3456.9816894531
16,3469.7722167969
17,3467.4462890625
18,3481.1616210938
19,3456.9543457031
20,3430.2250976563
21,3418.3852539063
22,3400.0170898438
23,3386.7573242188
24,3392.0620117188
25,3405.6684570313
26,3401.4184570313
27,3362.3452148438
28,3426.1906738281
29,3446.0202636719
30,3383.2270507813
31,3439.5080566406
32,3443.0183105469
33,3380.7436523438
34,3336.1174316406
35,3350.6655273438
36,3327.314453125
37,3300.9377441406
38,3289.2846679688
39,3346.099609375
40,3360.607421875
41,3410.1215820313
42,3434.3955078125
43,3396.6108398438
44,3349.421875
45,3346.4284667969
46,3360.78515625
47,3334.3518066406
48,3304.4978027344
49,3319.6027832031
50,3311.2983398438
51,3331.8725585938
52,3283.1120605469
53,3319.4799804688
54,3392.357421875
55,3450.3916015625
56,3313.4025878906
57,3216.4721679688
58,3243.6909179688
59,3384.8520507813
60,3400.8732910156
61,3343.8916015625
62,3258.6596679688
63,3247.1064453125
64,3226.2578125
65,3223.7497558594
66,3255.900390625
67,3235.9562988281
68,3199.2294921875
69,3234.9614257813
70,3231.0288085938
71,3211.0498046875
72,3258.4587402344
73,3364.1694335938
74,3482.2744140625
75,3501.8676757813
76,3375.654296875
77,3293.0927734375
78,3225.1298828125
79,3213.6257324219
80,3230.0905761719
81,3421.3969726563
82,3403.3962402344
83,3234.8063964844
84,3190.4797363281
85,3212.8525390625
86,3194.5576171875
87,3178.4826660156
88,3307.1850585938
89,3366.1359863281
90,3311.0126953125
91,3217.9533691406
92,3210.9765625
93,3217.98046875
94,3174.7182617188
95,3185.3562011719
96,3180.3276367188
97,3222.6928710938
98,3284.82421875
99,3350.2829589844
100,3416.7575683594
101,3296.146484375
102,3242.66796875
103,3193.1137695313
104,3169.2189941406
105,3183.3725585938
106,3105.2692871094
107,3094.2626953125
108,3090.2607421875
109,3116.6684570313
110,3211.4670410156
111,3324.0666503906
112,3483.1025390625
113,3269.9130859375
114,3158.0891113281
115,3142.1723632813
116,3112.5773925781
117,3151.9755859375
118,3229.2504882813
119,3377.3146972656
120,3219.2097167969
121,3185.1044921875
122,3178.4169921875
123,3143.2368164063
124,3146.8251953125
125,3171.3623046875
126,3377.2155761719
127,3364.0246582031
128,3198.7221679688
129,3133.1779785156
130,3086.5791015625
131,3084.2468261719
132,3064.8798828125
133,3083.1638183594
134,3106.8544921875
135,3262.5361328125
136,3264.6381835938
137,3194.6728515625
138,3195.8041992188
139,3135.96484375
140,3090.9565429688
141,3105.0471191406
142,3155.2856445313
143,3226.9436035156
144,3165.1540527344
145,3150.4250488281
146,3187.408203125
147,3132.6684570313
